replication,success_rate,completed,cancelled,failures,resource_utilization,requested_jobs,completed_jobs,assumed_jobs,waiting_jobs,working_jobs,wait_aircraft_hours,work_aircraft_hours,wait_resource_aircraft_hours,wait_shift_aircraft_hours,daily_assumed_ready_aircraft
173,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
174,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
175,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
176,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
177,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
178,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
179,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
180,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
181,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
182,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
183,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
184,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
185,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
186,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
187,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
188,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
189,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
190,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
191,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
192,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
193,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
194,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
195,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
196,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
197,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
198,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
199,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
200,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
201,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
202,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
203,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
204,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
205,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
206,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
207,0.8888888888888888,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
208,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
209,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
210,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
211,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
212,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
213,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
214,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
215,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
216,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
217,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
218,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
219,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
220,1.0,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
221,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
222,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
223,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
224,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
225,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
226,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
227,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
228,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
229,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
230,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
231,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
232,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
233,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
234,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
235,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
236,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
237,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
238,1.0,8,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
239,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
240,0.7777777777777778,6,0,3,0.029513888888888888,17,17,0,0,0,0.0,8.5,0.0,0.0,36
241,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
242,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
243,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
244,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
245,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
246,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
247,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
248,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
249,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
250,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
251,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
252,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
253,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
254,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
255,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
256,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
257,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
258,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
259,0.8888888888888888,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
260,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
261,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
262,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
263,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
264,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
265,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
266,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
267,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
268,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
269,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
270,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
271,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
272,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
273,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
274,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
275,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
276,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
277,0.7777777777777778,6,0,3,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
278,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
279,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
280,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
281,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
282,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
